,id,name,brewery,style,abv,ibu,rating
119,HyxQE4,20th Street Ale Magnum,Sierra Nevada Brewing Co.,Pale Ale - American,7.3% ABV,N/A IBU,(3.691)
120,e9sjBk,Stone 21st Anniversary Hail To the Hop Thief Double IPA,Stone Brewing,IPA - Imperial / Double,9.8% ABV,80 IBU,(3.984)
121,e9sjBk,Stone 22nd Anniversary Anni-Matter Double IPA,Stone Brewing,IPA - Imperial / Double,9.1% ABV,81 IBU,(3.975)
122,e9sjBk,Birthday Suit Sour Farmhouse Ale (21st Anniversary),Uinta Brewing Company,Sour - Ale,6.3% ABV,N/A IBU,(3.878)
123,e9sjBk,21st Anniversary Ale,Weyerbacher Brewing Company,Stout - American Imperial / Double,11.9% ABV,N/A IBU,(4.001)
124,e9sjBk,21st Anniversary,Great Divide Brewing Company,Sour - Ale,6.2% ABV,10 IBU,(3.534)
125,e9sjBk,21st Anniversary,Coronado Brewing Company,IPA - Imperial / Double,8% ABV,68 IBU,(3.831)
126,e9sjBk,21st Anniversary,Two Brothers Brewing Company,IPA - American,8.2% ABV,77 IBU,(3.728)
127,e9sjBk,21 Anniversary Ale,Heavy Seas Beer,Strong Ale - American,10.5% ABV,65 IBU,(3.879)
128,e9sjBk,21st Anniversary Oud Bruin,SweetWater Brewing Company,Sour - Flanders Oud Bruin,7.9% ABV,N/A IBU,(3.906)
129,e9sjBk,21st Anniversary Ale,Hinterland Brewery,Barleywine - Other,9.4% ABV,N/A IBU,(3.987)
130,e9sjBk,Twenty One Anniversary Ale,Eel River Brewing Company,Old Ale,11% ABV,80 IBU,(4.053)
131,e9sjBk,21st Anniversary Ale,Arcadia Brewing Company,American Wild Ale,10% ABV,2 IBU,(3.71)
132,e9sjBk,"BS, Too",Fremont Brewing,IPA - New England,7.6% ABV,N/A IBU,(4.044)
133,e9sjBk,21st Anniversary,Real Ale Brewing Company,Lager - Pale,4.6% ABV,22 IBU,(3.558)
134,e9sjBk,Falling Rock,The Lost Abbey,American Wild Ale,9.5% ABV,N/A IBU,(4.123)
135,e9sjBk,21st Anniversary Ale,Brewery Ommegang,Saison / Farmhouse Ale,6.8% ABV,N/A IBU,(3.762)
136,e9sjBk,Finally Legal - 21st Anniversary Beer,Middle Ages Brewing,Pale Ale - American,5.8% ABV,50 IBU,(3.619)
137,e9sjBk,21st Anniversary Ale,Manayunk Brewing Company,Belgian Strong Golden Ale,11.1% ABV,N/A IBU,(3.724)
138,e9sjBk,21st Anniversary Black IPA,Sly Fox Brewing Company,IPA - Black / Cascadian Dark Ale,6.3% ABV,70 IBU,(3.816)
139,e9sjBk,Kristal Anniversary Ale,21st Amendment Brewery,Witbier,4.7% ABV,14 IBU,(3.53)
140,e9sjBk,21st Anniversary Double IPA,Tustin Brewing Company,IPA - Imperial / Double,8.5% ABV,90 IBU,(4.216)
141,e9sjBk,Aged 21st Anniversary IPA,Two Brothers Brewing Company,IPA - American,8.2% ABV,77 IBU,(3.81)
142,e9sjBk,21st Anniversary Pilsner,Dunedin Brewery,Pilsner - Other,6.8% ABV,N/A IBU,(3.724)
143,e9sjBk,Delilah's 21st Anniversary Imperial Stout (White Wax),3 Floyds Brewing Company,Stout - Russian Imperial,N/A ABV,N/A IBU,(3.887)
144,e9sjBk,21st Anniversary Ale,Eli Cannon's Tap Room,Homebrew  |  English Bitter,N/A ABV,N/A IBU,(3.483)
145,YZXVKq,Fat Tire,New Belgium Brewing Company,Red Ale - American Amber / Red,5.2% ABV,22 IBU,(3.578)
146,YZXVKq,Delirium Argentum,Huyghe Brewery,Belgian Strong Golden Ale,7% ABV,55 IBU,(3.69)
147,YZXVKq,25th Anniversary Ale,Goose Island Beer Co.,Extra Special / Strong Bitter,6.4% ABV,N/A IBU,(3.538)
148,YZXVKq,25th Anniversary Double IPL,Otter Creek Brewing,Lager - IPL (India Pale Lager),8.5% ABV,75 IBU,(3.876)
149,YZXVKq,Keene Idea,Alpine Beer Company,IPA - Imperial / Double,8.88% ABV,N/A IBU,(4.438)
150,YZXVKq,25th Anniversary,Left Hand Brewing Company,Stout - Imperial / Double,12.1% ABV,41 IBU,(4.024)
151,YZXVKq,Twenty Five,Avery Brewing Co.,Belgian Strong Dark Ale,14.5% ABV,38 IBU,(4.107)
152,YZXVKq,Altbier,Creemore Springs,Altbier,5% ABV,28 IBU,(3.481)
153,YZXVKq,25th Anniversary Ale,New Glarus Brewing Company,Belgian Quad,11.5% ABV,N/A IBU,(4.087)
154,YZXVKq,Rye-O-Rye Can't We Win?,Great Lakes Brewing Company,Brown Ale - American,7.2% ABV,40 IBU,(3.692)
155,YZXVKq,25th Anniversary Ale,New Belgium Brewing Company,Pale Ale - American,5.7% ABV,N/A IBU,(3.935)
156,YZXVKq,Twenty Fifth Anniversary Pale Ale,Rooster's Brewing Co,Pale Ale - International,4.3% ABV,N/A IBU,(3.462)
157,YZXVKq,Silver Anniversary Ale (Odell's Version),Odell Brewing Co.,Red Ale - American Amber / Red,7.3% ABV,N/A IBU,(3.752)
158,YZXVKq,25th Anniversary Barrel-Aged Doppelbock,Karl Strauss Brewing Company,Bock - Doppelbock,9.5% ABV,13 IBU,(3.681)
159,YZXVKq,Cafe Viking 25th Anniversary,Mikkeller,Pale Ale - American,6.6% ABV,N/A IBU,(3.879)
160,YZXVKq,25th Anniversary Bourbon Barrel-Aged Russian Imperial Stout,Great Lakes Brewery,Stout - Russian Imperial,11% ABV,80 IBU,(4.273)
161,YZXVKq,S.O.S. (Special Oatmeal Stout) - 25th Anniversary,Gritty McDuff's Brewing Company,Stout - Oatmeal,6.8% ABV,N/A IBU,(3.57)
162,YZXVKq,Volo 25th Anniversary Ale,Le Trou du Diable,Sour - Ale,7.5% ABV,N/A IBU,(4.158)
163,YZXVKq,25th Anniversary Bourbon Barrel Aged Barleywine,Empyrean Brewing Co.,Barleywine - American,12% ABV,51 IBU,(3.909)
164,YZXVKq,25th Anniversary Chardonnay Barrel Aged Wheatwine,Empyrean Brewing Co.,Wheat Wine,11% ABV,35 IBU,(3.876)
165,YZXVKq,25th Anniversary Robust Porter,Great Lakes Brewery,Porter - American,7% ABV,N/A IBU,(4.049)
166,YZXVKq,25th Anniversary DIPA,Atlanta Brewing Co.,IPA - Imperial / Double,8.1% ABV,N/A IBU,(3.824)
167,YZXVKq,25th Anniversary IPA,Fat Head's Brewery,IPA - American,7.77% ABV,82 IBU,(4.22)
168,YZXVKq,25th Anniversary Saison,North Coast Brewing Company,Saison / Farmhouse Ale,7.4% ABV,N/A IBU,(3.522)
169,YZXVKq,DJ’s Dugout 25th Anniversary Ale,Lucky Bucket Brewing Company,Blonde Ale,4.5% ABV,N/A IBU,(3.475)
170,7z8RTq,3 Weight,Sierra Nevada Brewing Co.,IPA - Session / India Session Ale,4% ABV,N/A IBU,(3.569)
171,7z8RTq,Light Weight,Exit 33,Pale Ale - English,3.9% ABV,N/A IBU,(3.479)
172,7z8RTq,Worth the Weight,Three Notch'd Brewing Company,Stout - American Imperial / Double,9.2% ABV,30 IBU,(3.825)
173,7z8RTq,Weight of the World (Batch 3),Black Heath Meadery,Mead - Metheglin,14% ABV,N/A IBU,(4.545)
174,7z8RTq,Cape Fear Collab #3: Shandy Warhol,Wrightsville Beach Brewery,Shandy / Radler,2.9% ABV,8 IBU,(3.743)
175,7z8RTq,3 French Hens,George Wright Brewing Company,Blonde Ale,3.9% ABV,N/A IBU,(3.179)
176,7z8RTq,Hop Fusions No 3 - Galaxy Citra,George Wright Brewing Company,Pale Ale - English,4.1% ABV,N/A IBU,(3.266)
177,7z8RTq,Weightless 3.11,Wooden Crate Brewery,Homebrew  |  IPA - Red,7.5% ABV,130 IBU,(0)
178,f5CWb6,"30th Anniversary - Charlie, Fred & Ken's Imperial Helles Bock",Sierra Nevada Brewing Co.,Bock - Maibock / Heller (Helles) / Lentebock,8.3% ABV,N/A IBU,(3.803)
179,0KEzfx,30th Anniversary - Fritz And Ken's Ale,Sierra Nevada Brewing Co.,Stout - American Imperial / Double,9.2% ABV,N/A IBU,(4.109)
180,0KEzfx,30th Anniversary - Fritz and Ken's Ale - Bourbon Barrel Aged,Sierra Nevada Brewing Co.,Stout - American Imperial / Double,13.5% ABV,N/A IBU,(4.092)
181,0KEzfx,30th Anniversary - Fritz and Ken's Ale - Rum Barrel-Aged,Sierra Nevada Brewing Co.,Stout - Other,N/A ABV,N/A IBU,(4.155)
182,KjumXn,30th Anniversary - Our Brewers Reserve Grand Cru,Sierra Nevada Brewing Co.,Strong Ale - American,9.2% ABV,N/A IBU,(4.044)
183,KjumXn,30th Anniversary Grand Cru,Spinnakers Gastro Brewpub,Belgian Strong Dark Ale,8% ABV,20 IBU,(3.668)
184,8M5lCq,30th Anniversary - Jack And Ken's Ale (Black Barleywine),Sierra Nevada Brewing Co.,Barleywine - American,10.2% ABV,N/A IBU,(4.12)
185,ajbd6g,35th Anniversary - Our Brewers Reserve,Sierra Nevada Brewing Co.,Strong Ale - American,8% ABV,N/A IBU,(4.04)
186,ajbd6g,30th Anniversary - Our Brewers Reserve Grand Cru,Sierra Nevada Brewing Co.,Strong Ale - American,9.2% ABV,N/A IBU,(4.044)
187,NoNhan,420 Extra Pale Ale,SweetWater Brewing Company,Pale Ale - American,5.7% ABV,39 IBU,(3.618)
188,NoNhan,420 Extra Pale Ale W/ Summit Coffee,SweetWater Brewing Company,Pale Ale - American,N/A ABV,N/A IBU,(4.089)
189,NoNhan,Atlanta 420 Extra Pale Ale,Lyford 188 Brewing,Homebrew  |  Pale Ale - American,6% ABV,43 IBU,(3.721)
190,pOUbfg,420 Fest Double IPA,SweetWater Brewing Company,IPA - Imperial / Double,8% ABV,85 IBU,(3.907)
191,pOUbfg,420 Fest Double IPA (2015),SweetWater Brewing Company,IPA - Imperial / Double,8% ABV,85 IBU,(3.958)
192,pOUbfg,Sweetwater 420 Fest DIPA (Clone Attempt #1),Woodsman Brewing,Homebrew  |  IPA - American,6.8% ABV,85 IBU,(0)
193,pOUbfg,Felton 420,Greenwood Tavern and Brewery,Homebrew  |  Red Ale - American Amber / Red,7% ABV,93 IBU,(0)
194,pOUbfg,Duck Fustin Brown Ale,420 Brewing Company,Homebrew  |  Brown Ale - American,6.55% ABV,N/A IBU,(0)
195,jIKwgZ,420 Strain G13 IPA,SweetWater Brewing Company,IPA - New England,6% ABV,48 IBU,(3.803)
196,HZMvCT,471 IPA Barrel Series: Citra,Breckenridge Brewery,IPA - Imperial / Double,11.3% ABV,70 IBU,(3.855)
197,GysKeq,471 IPA Small Batch Barrel Series (Eureka Hops),Breckenridge Brewery,IPA - Imperial / Double,11.2% ABV,70 IBU,(3.994)
198,j9cp5e,471 Small Batch IPA,Breckenridge Brewery,IPA - Imperial / Double,9.2% ABV,70 IBU,(3.846)
199,j9cp5e,471 IPA Small Batch Barrel Series (Hüll Melon Hops),Breckenridge Brewery,IPA - Imperial / Double,9.7% ABV,70 IBU,(3.906)
200,j9cp5e,471 IPA Small Batch Barrel Series (Eureka Hops),Breckenridge Brewery,IPA - Imperial / Double,11.2% ABV,70 IBU,(3.994)
201,j9cp5e,471 IPA Small Batch Barrel Series (Sorachi Ace Hops),Breckenridge Brewery,IPA - Imperial / Double,11.68% ABV,N/A IBU,(4.009)
202,j9cp5e,471 Small Batch IPA W/ Pineapple,Breckenridge Brewery,IPA - Imperial / Double,9.2% ABV,N/A IBU,(4)
203,j9cp5e,471 Small Batch IPA - Bourbon Barrel Aged,Breckenridge Brewery,IPA - Imperial / Double,11.2% ABV,70 IBU,(3.962)
204,j9cp5e,471 IPA Small Batch IPA (Whiskey Barrel Aged),Breckenridge Brewery,IPA - Imperial / Double,9.2% ABV,70 IBU,(4.026)
205,j9cp5e,471 IPA Small Batch (Oak Aged),Breckenridge Brewery,IPA - Imperial / Double,9.5% ABV,N/A IBU,(3.969)
206,j9cp5e,471 Small Batch Sour Belgian IPA,Breckenridge Brewery,IPA - Belgian,10% ABV,N/A IBU,(3.838)
207,j9cp5e,471 Small Batch Ipa Calypso,Breckenridge Brewery,IPA - Imperial / Double,11.6% ABV,N/A IBU,(4)
208,5MX880,5Cs IPA,Vault Brewing Company,IPA - American,6.5% ABV,N/A IBU,(3.83)
209,5MX880,5 C's IPA,Portsmouth Brewery (NH),IPA - American,6.5% ABV,N/A IBU,(3.811)
210,5MX880,India Pale Ale 5C,The Kernel Brewery,IPA - American,6.9% ABV,N/A IBU,(4.142)
211,5MX880,IPA 5C,St. Andrews Brewing Co,IPA - American,5% ABV,N/A IBU,(3.558)
