,beer_id,name,display_name,abv,ibu,style_id,year,glass_id,organic,brewery_id,retired,status,ingredients,hops,malt,misc,yeast
230,YCBXba,Bud Light Straw-Ber-Rita,Bud Light Straw-Ber-Rita,8,,161,n/a,n/a,N,BznahA,N,verified,0,,,,
231,doijNb,Buddha's Hand - Mountain Series,Buddha's Hand - Mountain Series,n/a,37.5,119,n/a,n/a,N,IImUD9,N,verified,0,,,,
232,1P45iR,Budweiser,Budweiser,5,9.0,93,n/a,5,N,BznahA,N,verified,3,,1947;,,
233,ueYGTP,Budweiser 1933 Repeal Reserve,Budweiser 1933 Repeal Reserve,6.1,24.0,101,n/a,n/a,N,BznahA,N,verified,0,,,,
234,hlynwj,Budweiser American Ale,Budweiser American Ale,5.1,35.0,32,n/a,n/a,N,BznahA,N,verified,0,,,,
235,eW9IJb,Budweiser Chelada,Budweiser Chelada,5,9.0,93,n/a,5,N,BznahA,N,verified,3,,1947;,,
236,mobjLC,Budweiser Copper Lager,Budweiser Copper Lager,6.2,24.0,101,n/a,n/a,N,BznahA,N,verified,0,,,,
237,bQk5Rn,Budweiser Freedom Reserve,Budweiser Freedom Reserve,5.4,24.0,101,n/a,n/a,N,BznahA,N,verified,0,,,,
238,jjIwuS,Budweiser Prohibition Brew,Budweiser Prohibition Brew,0.5,,139,n/a,n/a,N,BznahA,N,verified,0,,,,
239,G2Vi1J,Budweiser Select,Budweiser Select,4.3,7.5,94,n/a,5,N,BznahA,N,verified,0,,,,
240,BbrPm8,Buffalo Trace Aged Scotch Ale,Buffalo Trace Aged Scotch Ale,11.1,30.0,15,n/a,n/a,N,nHLlnK,N,verified,0,,,,
241,jnOm9n,Buffalo Trace Barrel-Aged Bearwalker,Buffalo Trace Barrel-Aged Bearwalker,n/a,,134,n/a,n/a,Y,p1tFbP,N,verified,0,,,,
242,dRIuaV,Bulleit Bourbon Ten Fidy,Bulleit Bourbon Ten Fidy,n/a,45.0,24,n/a,n/a,N,q6vJUK,N,verified,0,,,,
243,5ON8OO,Bulleit Bourbon Ten Fidy,Bulleit Bourbon Ten Fidy (2013),11,45.0,24,2013,n/a,N,q6vJUK,N,verified,0,,,,
244,QhHBBX,Busch,Busch,4.6,9.0,93,n/a,5,N,BznahA,N,verified,3,,1947;,,
245,fKinUP,Busch Ice,Busch Ice,5.9,13.5,99,n/a,5,N,BznahA,N,verified,3,,1947;,,
246,30zzKy,Busch Light,Busch Light,4.1,7.5,94,n/a,5,N,BznahA,N,verified,3,,1947;,,
247,vNwXnT,Busch Signature Copper Lager,Busch Signature Copper Lager,5.7,9.0,93,n/a,5,N,BznahA,N,verified,3,,1947;,,
248,zYJxUM,Cabin Fever,Cabin Fever,6.5,25,37,n/a,5,N,AqEUBQ,N,verified,3,18;90;,247;378;1977;650;1950;854;,,1800;1835;
249,9OyQXs,California Black Beer,California Black Beer,4.9,10,103,n/a,5,N,941OaA,N,verified,0,,,,
250,GTbXLB,Cambium,Cambium,5.8,,170,n/a,n/a,N,TMc6H2,N,verified,0,,,,
251,xpBGZB,CANfusion - Beer Camp Across America,CANfusion - Beer Camp Across America (2014),7.2,45,117,2014,5,N,q6vJUK,N,verified,0,,,,
252,qa1QZU,Cappuccino Stout,Cappuccino Stout,8.9,29.5,20,n/a,5,N,nLsoQ9,N,verified,0,,,,
253,80tC1T,Cask-Aid,Cask-Aid,5.5,,n/a,n/a,5,N,nHLlnK,N,verified,0,,,,
254,04k0TG,Casper The Friendly Gose,Casper The Friendly Gose,5,13,47,n/a,n/a,N,p1tFbP,N,verified,0,,,,
255,KY5gtZ,Celebration Ale,Celebration Ale,6.8,65,26,n/a,5,N,nHLlnK,N,verified,2,22;24;26;,378;1922;,,
256,PLnqH7,Celebration Ale 1992,Celebration Ale 1992,n/a,36.0,25,n/a,n/a,N,nHLlnK,N,verified,0,,,,
257,v5a7l8,Celebrator Beer News,Celebrator Beer News,9.3,45.0,29,n/a,n/a,N,nHLlnK,N,verified,0,,,,
258,lyc9as,Censored (Kronik),Censored (Kronik),6.75,35.0,32,n/a,n/a,N,nLsoQ9,N,verified,0,,,,
259,tZkS7X,Censored Imperial Stout,Censored Imperial Stout,9.9,35.0,32,n/a,n/a,N,nLsoQ9,N,verified,0,,,,
260,GboTWT,Censored Rich Copper Ale,Censored Rich Copper Ale,6.75,35.0,32,n/a,5,N,nLsoQ9,N,verified,0,,,,
261,zd3xxc,Centennial Hop Mountain Marzen (Batch No. 80524),Centennial Hop Mountain Marzen (Batch No. 80524),5.9,25.0,102,n/a,3,N,BznahA,N,verified,0,,,,
262,1C793t,Centennial Saison,Centennial Saison,6,30.0,72,n/a,n/a,N,q6vJUK,N,verified,0,,,,
263,1t3vFB,Chai Porter,Chai Porter,5.6,24,18,n/a,n/a,Y,p1tFbP,N,verified,0,,,,
264,guH320,Chaka,Chaka,8,25.0,62,n/a,n/a,N,q6vJUK,N,verified,0,,,,
265,Ontrer,Chardonnay Barrel G'Knight,Chardonnay Barrel G'Knight,8.7,70.0,33,n/a,n/a,N,q6vJUK,N,verified,0,,,,
266,ct0Hxz,Charkoota Rye,Charkoota Rye (2012),9.35,22.0,90,2012,n/a,N,AqEUBQ,N,verified,0,,,,
267,lUt8yP,Charkoota Rye,Charkoota Rye (2011),8.4,22.0,90,2011,5,N,AqEUBQ,N,verified,0,,,,
268,qqOqX9,Chernigivske White,Chernigivske White,5,22.5,112,n/a,n/a,N,BznahA,N,verified,0,,,,
269,LkfL1Y,Cherry Chocolate Stout,Cherry Chocolate Stout,8.5,82.5,31,n/a,n/a,N,nHLlnK,N,verified,0,,,,
270,WHKIRY,Cherry Hotside Sour,Cherry Hotside Sour,4.8,,170,n/a,n/a,N,nLsoQ9,N,verified,0,,,,
271,zhzeah,Cherry Jane,Cherry Jane,5.5,9,40,n/a,n/a,N,nLsoQ9,N,verified,0,,,,
272,wIRsU0,Cherry Vanilla Stout,Cherry Vanilla Stout,5.5,28,42,n/a,n/a,Y,p1tFbP,N,verified,0,,,,
273,3wh93y,Chewbocka,Chewbocka,6.2,20,88,n/a,n/a,N,VEY3Xa,N,verified,3,59;,372;392;839;840;,,1893;
274,Z10a03,Chico King - Beer Camp Across America,Chico King - Beer Camp Across America (2014),6.5,45,25,2014,5,N,nHLlnK,N,verified,0,,,,
275,dnUKxu,Chocolate Chili Stout - High Altitude Series,Chocolate Chili Stout - High Altitude Series,8.8,65.0,43,n/a,n/a,N,nHLlnK,N,verified,0,,,,
276,T1YdsG,Chocolate Pretzel Stout,Chocolate Pretzel Stout,5.2,27.5,122,n/a,n/a,Y,p1tFbP,N,verified,0,,,,
277,x71Neo,Chocolate Stout (Cask Conditioned) Aka Double Chocolate Snowman Stout,Chocolate Stout (Cask Conditioned) Aka Double Chocolate Snowman Stout,n/a,47.5,42,n/a,n/a,Y,p1tFbP,N,verified,0,,,,
278,EBgR2m,Choice Make Good,Choice Make Good,8.3,95,31,n/a,n/a,N,VEY3Xa,N,verified,0,,,,
279,zpvlri,Christmas Chub,Christmas Chub,8,37.5,124,n/a,n/a,N,q6vJUK,N,verified,0,,,,
280,oEiXJV,Christmas Jam,Christmas Jam,4.2,20.0,108,n/a,5,N,nHLlnK,N,verified,0,,,,
281,Hh3VFp,Cinnister Stout,Cinnister Stout,5,47.5,42,n/a,n/a,N,p3YrOa,N,verified,0,,,,
282,iTZlLw,Citra IPL,Citra IPL,5.2,60.0,30,n/a,n/a,Y,p1tFbP,N,verified,0,,,,
283,yQqOSf,Citra Pale Ale,Citra Pale Ale,n/a,36.0,25,n/a,n/a,Y,p1tFbP,N,verified,0,,,,
284,tMseDR,Citrus And Vanilla Berlinerweisse,Citrus And Vanilla Berlinerweisse,4.7,4.5,46,n/a,n/a,N,4F7QA9,N,verified,0,,,,
285,8pAabO,CitruSinensis,CitruSinensis,7.9,36.0,25,n/a,n/a,Y,nLsoQ9,N,verified,1,,,1317;,
286,3dsDxX,Clean Sweep,Clean Sweep,3.5,20.0,36,n/a,n/a,N,nHLlnK,N,verified,0,,,,
287,CtLLsH,Coco Nuts,Coco Nuts,5,30.0,72,n/a,n/a,N,p3YrOa,N,verified,0,,,,
288,mXym9s,Coffee Stout,Coffee Stout,6.2,42.5,44,n/a,n/a,N,nHLlnK,N,verified,0,,,,
289,gfFqa1,Cold Nose Winter Ale,Cold Nose Winter Ale,n/a,47.5,13,n/a,n/a,N,yX6twV,Y,verified,0,,,,
290,qhppip,Collabinator Wit,Collabinator Wit,n/a,13.5,65,n/a,n/a,Y,p1tFbP,N,verified,0,,,,
291,h2d5zt,Conehead,Conehead,5.7,49,30,n/a,n/a,N,VEY3Xa,N,verified,1,27;,,,
292,a1DUfG,Cool Breeze,Cool Breeze,4.9,30.0,72,n/a,n/a,N,TMc6H2,N,verified,0,,,,
293,sghlNk,Cornlaboration,Cornlaboration,5.8,9.0,93,n/a,n/a,N,q6vJUK,N,verified,0,,,,
294,uycrg9,Corsair Buckwheat Porter,Corsair Buckwheat Porter,n/a,42.5,158,n/a,n/a,Y,p1tFbP,N,verified,0,,,,
295,ViVJh6,CÔTE DE CHAMPLAIN,CÔTE DE CHAMPLAIN,6.1,33,125,n/a,n/a,N,VEY3Xa,N,verified,0,,,,
296,ehb1eB,Country Pale Ale,Country Pale Ale,5.1,17,25,n/a,5,N,DifSi4,N,verified,2,22;28;157;,378;1922;,,
297,bqKaTO,Cran-Ber-Rita,Cran-Ber-Rita,8,,161,n/a,n/a,N,BznahA,N,verified,0,,,,
298,C7bzqV,Cranberry Kolsch,Cranberry Kolsch,5,21.5,45,n/a,n/a,N,p3YrOa,N,verified,0,,,,
299,bHmQdD,Crank Tank,Crank Tank,5.8,25,112,n/a,5,N,TMc6H2,N,verified,0,,,,
300,FDpmPR,Crank Tank Rye'd Ale,Crank Tank Rye'd Ale,6.2,17.5,115,n/a,n/a,N,TMc6H2,N,verified,0,,,,
301,BkSzxg,Cream Ale,Cream Ale,5.9,18,20,n/a,n/a,Y,p1tFbP,N,verified,0,,,,
302,xwLUUb,Cream Ale,Cream Ale,5,12,109,n/a,5,N,yX6twV,N,verified,0,,,,
303,537zpn,Credits & Debits,Credits & Debits,5,36.0,25,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
304,fDmp62,Crye Me A River,Crye Me A River,5.6,,117,n/a,n/a,N,q6vJUK,N,verified,0,,,,
305,S1oEH9,CSB ESB,CSB ESB,n/a,37.5,5,n/a,n/a,N,yX6twV,Y,verified,0,,,,
306,AvtUms,Cubcrawler,Cubcrawler,n/a,47.5,14,n/a,n/a,Y,p1tFbP,N,verified,0,,,,
307,3PGxCQ,Cuvée Jeune Homme,Cuvée Jeune Homme,6.5,,170,n/a,n/a,N,uM2jeT,N,verified,0,,,,
308,nF8WBb,Cuvée Mam'zelle,Cuvée Mam'zelle,8.5,20.0,57,n/a,n/a,N,uM2jeT,N,verified,0,,,,
309,rDnNdd,Cuvée Soeur’ise,Cuvée Soeur’ise,8.5,32.5,59,n/a,n/a,N,uM2jeT,N,verified,0,,,,
310,nFcIwJ,D07,D07,n/a,22.5,112,n/a,n/a,Y,p1tFbP,N,verified,0,,,,
311,iT9pf4,Dale's Pale Ale,Dale's Pale Ale,6.5,65,25,n/a,5,N,q6vJUK,N,verified,0,,,,
312,2ADEYR,Dale's Pale Ale Nitro,Dale's Pale Ale Nitro,6.5,65,25,n/a,n/a,N,q6vJUK,N,verified,0,,,,
313,JDzrBR,Dales Dry Hop Equinox,Dales Dry Hop Equinox,6.5,36.0,25,n/a,n/a,N,q6vJUK,N,verified,0,,,,
314,vXifKs,Dales T45 Dry Hop,Dales T45 Dry Hop,6.5,36.0,25,n/a,n/a,N,q6vJUK,N,verified,0,,,,
315,XrRTUJ,Dales T90 Dry Hop,Dales T90 Dry Hop,6.5,36.0,25,n/a,n/a,N,q6vJUK,N,verified,0,,,,
316,6gFiUn,Dank Tank Border Hopper,Dank Tank Border Hopper,8.6,82.5,31,n/a,n/a,N,TMc6H2,N,verified,0,,,,
317,LR5oG8,Dank Tank BSP Quad,Dank Tank BSP Quad,11,37.5,60,n/a,n/a,N,TMc6H2,Y,verified,0,,,,
318,69tWZj,Dank Tank Ghoulash,Dank Tank Ghoulash,8.5,167,31,n/a,5,N,TMc6H2,N,verified,2,30;33;45;11;79;82;84;90;98;133;1933;135;157;,1936;650;1950;,,
319,BlcFcv,Dank Tank Magnum IP,Dank Tank Magnum IP,9,100,76,n/a,n/a,N,TMc6H2,Y,verified,0,,,,
320,ARoWVg,Dank Tank Old Man Johnson's Farm,Dank Tank Old Man Johnson's Farm,9.6,60,43,n/a,n/a,N,TMc6H2,N,verified,0,,,,
321,ov7fgF,Dank Tank Pulled Porter,Dank Tank Pulled Porter,7.7,25.0,18,n/a,n/a,N,TMc6H2,N,verified,0,,,,
322,DEojxv,Dank Tank Red Hot Mama,Dank Tank Red Hot Mama,8.6,70.0,33,n/a,n/a,N,TMc6H2,N,verified,0,,,,
323,9nXV0D,Dank Tank The Price is Wrong,Dank Tank The Price is Wrong,9,35.0,64,n/a,n/a,N,TMc6H2,N,verified,0,,,,
324,zc3p4y,Dank Tank: Smokey and the Brett,Dank Tank: Smokey and the Brett,7.3,55,30,n/a,n/a,N,TMc6H2,N,verified,0,,,,
325,x3ijRg,Dank Tank: Some Strange II Black IPA,Dank Tank: Some Strange II Black IPA,10,60.0,41,n/a,n/a,N,TMc6H2,N,verified,0,,,,
326,sqELhU,Dark Knight,Dark Knight,n/a,25.0,18,n/a,n/a,Y,p1tFbP,N,verified,0,,,,
327,0HZF08,Dark Swan,Dark Swan,8.7,,40,n/a,n/a,N,nLsoQ9,N,verified,0,,,,
328,XVWs1B,Dark Wheat,Dark Wheat,n/a,10.5,97,n/a,n/a,N,nHLlnK,N,verified,0,,,,
329,6f6SpY,Das Bij,Das Bij,5.6,26,72,n/a,n/a,Y,p1tFbP,N,verified,0,,,,
